gene	chain	n	x	y	ci_lower	ci_upper	functionality
TRAV1-1	A	134	1	1.425800129027381	1.2783654156491797	1.5732348424055822	F
TRAV1-2	A	134	1	0.7773393188089517	0.718236122198565	0.8364425154193383	F
TRAV10	A	134	1	2.9848592207378664	2.7528452058071133	3.2168732356686194	F
TRAV11	A	1	1	0.0003299927071611			P
TRAV12-1	A	134	1	2.8041619610097896	2.6295463891476407	2.9787775328719386	F
TRAV12-2	A	134	1	2.1821914906288926	1.9528518277524896	2.4115311535052957	F
TRAV12-3	A	134	1	1.8218373234654535	1.6989100789408371	1.9447645679900698	F
TRAV13-1	A	134	1	9.41840541614147	9.044112319135031	9.792698513147908	F
TRAV13-2	A	134	1	1.8617077857783642	1.6973188338527945	2.026096737703934	F
TRAV14/DV4	A/D	134	2	1.3848573778022342	0.9463640319799214	1.823350723624547	F
TRAV16	A	134	1	0.7761300548177305	0.41211018584499115	1.1401499237904698	F
TRAV17	A	134	1	1.7996037358409243	1.6738529205797592	1.9253545511020893	F
TRAV18	A	3	1	0.006477650394829666	-0.007044885703161718	0.02000018649282105	F
TRAV19	A	134	1	1.0060934918239435	0.9145561970099285	1.0976307866379584	F
TRAV2	A	134	1	4.018565893177427	3.786715066474941	4.2504167198799125	F
TRAV20	A	134	1	1.0985653173744474	0.9201100564872383	1.2770205782616566	F
TRAV21	A	134	1	10.937395824865142	10.111538139617412	11.763253510112872	F
TRAV22	A	134	1	1.3888325138418898	1.244065725302168	1.5335993023816115	F
TRAV23/DV6	A/D	134	2	0.7609446859954921	0.6973159321087119	0.8245734398822724	F
TRAV24	A	134	1	1.933861447111494	1.797088089717364	2.0706348045056244	F
TRAV25	A	134	1	0.898617881450754	0.8030048122955988	0.9942309506059093	F
TRAV26-1	A	134	1	1.3010508847593145	1.1989622275340277	1.4031395419846013	F
TRAV26-2	A	134	1	5.868140694285854	5.521925640270982	6.214355748300726	F
TRAV27	A	134	1	0.7542245033166229	0.6930126921182458	0.8154363145150001	F
TRAV29/DV5	A/D	134	2	2.5811479830179214	2.2984105677230544	2.8638853983127883	F
TRAV3	A	134	1	0.715666079217914	0.6577794861106105	0.7735526723252175	F
TRAV30	A	134	1	1.2643771633647503	1.0453411927934966	1.483413133936004	F
TRAV34	A	134	1	0.9018534327149118	0.738291247071382	1.0654156183584416	F
TRAV35	A	134	1	2.2295911949728007	2.0487300394130643	2.410452350532537	F
TRAV36/DV7	A/D	134	2	1.4418104764688353	1.347742557895142	1.5358783950425285	F
TRAV38-1	A	134	1	4.954486091982431	4.553948198379683	5.355023985585179	F
TRAV38-2/DV8	A/D	134	2	3.297195607040246	2.962536108148175	3.631855105932317	F
TRAV39	A	134	1	1.4550896044066315	1.3280207613577995	1.5821584474554635	F
TRAV4	A	134	1	4.4349922417570635	4.0310960643894145	4.838888419124713	F
TRAV40	A	134	1	0.4559760743404153	0.4248664986911515	0.4870856499896791	F
TRAV41	A	134	1	0.6858951442504846	0.6256721050168711	0.7461181834840981	F
TRAV5	A	134	1	1.9898989102312645	1.7976716333389842	2.182126187123545	F
TRAV6	A	134	1	1.4750961859212672	1.3328060581552224	1.6173863136873121	F
TRAV7	A	39	1	0.005222856434578049	0.0034724668464780435	0.006973246022678054	F
TRAV8-1	A	134	1	0.3547078615424183	0.3177560834514184	0.39165963963341816	F
TRAV8-2	A	134	1	0.3281069642612549	0.291900683083604	0.3643132454389058	F
TRAV8-3	A	134	1	0.8941879401606391	0.8184922353601208	0.9698836449611573	F
TRAV8-4	A	134	1	0.8366798513639289	0.7641047807733796	0.9092549219544781	F
TRAV8-6	A	134	1	0.8351836580126197	0.752679694370775	0.9176876216544645	F
TRAV9-1	A	114	1	0.02321463064340857	0.008885603643376927	0.03754365764344021	F
TRAV9-2	A	134	1	11.166977797060115	10.387343822929454	11.946611771190776	F
TRDV1	D	134	3	0.46889283549001115	0.40622891835030683	0.5315567526297155	F
TRDV2	D	52	3	0.006767129998826943	0.0042488694074764724	0.009285390590177415	F
TRDV3	D	68	3	0.009767358091140427	0.006465826151540621	0.013068890030740233	F
